Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,16060,16180,16000,16180,11978.36523,11950800
1/5/2010,16520,16580,16300,16440,12170.84668,27925850
1/6/2010,16580,16820,16520,16820,12452.1709,22948850
1/7/2010,16820,16820,16260,16260,12037.59082,22107950
1/8/2010,16400,16420,16120,16420,12156.04102,14777550
1/11/2010,16420,16460,15940,15940,11800.6875,19896100
1/12/2010,15940,16180,15900,16180,11978.36523,19218050
1/13/2010,16100,16120,15940,15940,11800.6875,13375300
1/14/2010,16120,16620,16000,16540,12244.87988,26551550
1/15/2010,16640,16860,16580,16840,12466.97559,19905600
1/18/2010,16800,16920,16560,16860,12481.7793,13060400
1/19/2010,17000,17000,16440,16460,12185.6543,12041250
1/20/2010,16460,16740,16460,16680,12348.52344,19200850
1/21/2010,16400,17000,16400,17000,12585.42969,16990100
1/22/2010,16800,16900,16360,16500,12215.26855,23460500
1/25/2010,16320,16960,16300,16840,12466.97559,20578400
1/26/2010,16920,16920,16240,16300,12067.20313,18722300
1/27/2010,16300,16340,16000,16000,11845.10645,18516150
1/28/2010,16160,16300,16060,16160,11963.56055,13795800
1/29/2010,16000,16020,15600,15680,11608.20313,22854100
2/1/2010,15680,15700,15300,15540,11504.56152,25037200
2/2/2010,15800,15800,15400,15440,11430.53027,19677150
2/3/2010,15640,15700,15360,15540,11504.56152,16467700
2/4/2010,15500,15660,15440,15520,11489.75391,11971700
2/5/2010,15160,15220,14940,15000,11104.78906,25705750
2/8/2010,14940,15080,14820,14960,11075.17578,21891500
2/9/2010,14960,15220,14840,15220,11267.65527,16834200
2/10/2010,15260,15280,15040,15100,11178.81934,13174200
2/11/2010,15140,15300,15120,15260,11297.27246,13208300
2/12/2010,15340,15340,14900,15000,11104.78906,22879300
2/16/2010,15000,15180,14960,15120,11193.625,7723550
2/17/2010,15440,15580,15280,15580,11534.17383,13997150
2/18/2010,15580,15620,15440,15500,11474.94922,7251900
2/19/2010,15380,15540,15180,15200,11252.85254,11094000
2/22/2010,15440,15560,15400,15460,11445.33496,11580550
2/23/2010,15480,15480,15120,15340,11356.49902,12568850
2/24/2010,15180,15220,15000,15040,11134.39941,15052500
2/25/2010,15080,15160,14680,14720,10897.49902,19273900
2/26/2010,14800,14960,14660,14880,11015.9502,15576350
3/2/2010,15220,15480,15120,15400,11400.91406,23494700
3/3/2010,15420,15460,15260,15420,11415.7207,9713550
3/4/2010,15420,15440,15120,15220,11267.65527,10205050
